"comunidad","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Mujeres","1,205,356","1,210,266","1,216,728","1,219,396","1,224,497","1,231,738","1,240,781","1,251,377","1,259,525","1,270,195","1,279,379","1,282,692","1,283,263"
"Castilla - La Mancha","","","","","","","","","","","","",""
"Hombres","1,031,732","1,028,696","1,026,348","1,020,701","1,020,072","1,024,382","1,029,445","1,037,163","1,044,118","1,055,063","1,062,653","1,059,509","1,053,522"
"Mujeres","1,026,546","1,023,809","1,021,621","1,016,076","1,014,337","1,017,040","1,019,891","1,025,452","1,030,642","1,038,411","1,043,283","1,039,549","1,030,949"
"Cataluña","","","","","","","","","","","","",""
"Hombres","3,820,173","3,814,823","3,797,011","3,745,262","3,700,356","3,672,371","3,654,164","3,645,767","3,655,110","3,691,318","3,713,214","3,711,637","3,704,036"
"Mujeres","3,941,650","3,935,073","3,923,312","3,879,363","3,839,008","3,808,407","3,786,528","3,775,123","3,777,723","3,797,346","3,801,779","3,781,615","3,759,435"
"Comunitat Valenciana","","","","","","","","","","","","",""
"Hombres","2,516,724","2,497,752","2,488,070","2,460,317","2,446,266","2,440,620","2,441,047","2,445,540","2,455,333","2,473,095","2,487,660","2,484,814","2,482,885"
"Mujeres","2,591,392","2,570,159","2,558,412","2,528,991","2,512,318","2,503,201","2,498,841","2,499,552","2,504,880","2,515,270","2,521,987","2,514,396","2,506,746"
"Extremadura","","","","","","","","","","","","",""
"Hombres","523,255","525,843","527,727","529,649","532,292","535,866","539,726","543,038","545,415","547,813","549,524","548,312","546,601"
"Mujeres","533,553","535,793","537,243","538,276","540,429","543,242","546,427","549,179","551,293","553,211","554,819","553,988","553,004"
"Galicia","","","","","","","","","","","","",""
"Hombres","1,296,582","1,299,491","1,301,860","1,301,382","1,303,692","1,307,459","1,312,994","1,320,402","1,327,220","1,335,088","1,340,856","1,340,811","1,339,618"
"Mujeres","1,396,243","1,398,686","1,400,745","1,398,828","1,399,356","1,401,496","1,406,101","1,412,399","1,418,597","1,425,632","1,431,060","1,432,604","1,432,839"
"Madrid","","","","","","","","","","","","",""
"Hombres","3,229,127","3,221,401","3,219,909","3,172,045","3,131,714","3,099,759","3,078,169","3,062,065","3,062,785","3,085,179","3,097,459","3,087,772","3,082,941"
"Mujeres","3,514,127","3,505,239","3,500,401","3,446,033","3,398,209","3,359,538","3,333,297","3,313,672","3,309,768","3,326,346","3,328,114","3,306,467","3,290,591"
"Murcia","","","","","","","","","","","","",""
"Hombres","767,117","760,831","756,142","746,926","741,037","739,790","736,540","735,374","734,753","735,778","737,239","737,295","735,569"
"Mujeres","762,541","757,448","752,935","744,386","737,681","735,485","731,827","729,821","727,981","726,493","724,690","721,782","717,976"
"Navarra","","","","","","","","","","","","",""
"Hombres","329,064","327,940","326,911","323,191","320,190","318,413","317,113","316,363","316,505","317,993","319,090","318,116","316,529"
"Mujeres","335,450","334,092","332,996","329,606","326,150","323,662","321,809","320,954","320,594","321,096","320,933","318,983","316,488"
"País Vasco","","","","","","","","","","","","",""
"Hombres","1,072,491","1,075,982","1,075,169","1,067,911","1,062,576","1,059,094","1,057,049","1,056,495","1,056,919","1,061,831","1,066,155","1,067,391","1,067,188"
"Mujeres","1,133,335","1,136,646","1,136,748","1,129,395","1,124,678","1,120,850","1,117,377","1,116,212","1,115,328","1,117,443","1,118,541","1,115,743","1,112,344"
"Rioja","","","","","","","","","","","","",""
"Hombres","157,875","157,763","157,336","155,955","155,582","155,178","155,204","155,527","156,519","158,669","160,318","160,694","160,628"
"Mujeres","161,742","161,681","161,367","160,012","159,308","158,958","158,821","158,930","159,217","160,150","160,633","160,156","159,311"
"Ceuta","","","","","","","","","","","","",""
"Hombres","41,908","42,536","42,740","43,151","43,328","43,186","42,979","43,049","43,197","43,300","42,960","41,801","40,539"
"Mujeres","41,143","41,535","41,762","41,936","41,999","41,819","41,579","41,512","41,365","41,187","40,877","39,826","38,756"
"Melilla","","","","","","","","","","","","",""
"Hombres","42,978","43,823","43,992","44,049","43,860","43,872","43,708","43,558","43,097","43,190","42,310","40,601","38,939"
"Mujeres","41,954","42,627","42,566","42,324","42,224","42,046","41,749","41,451","41,006","40,479","39,476","38,261","37,108"
